,count,mean,std,min,25%,50%,75%,max
video_length,16573.0,368.70850178000364,342.6248537626659,0.0,196.0,296.0,459.0,7364.0
views_final,16572.0,264642.8264542602,1038343.5571013953,2.0,12362.75,40078.5,147494.75,50222984.0
impressions_final,16570.0,450463.71846710925,1665792.8263073328,5002.0,28184.25,83376.5,278482.75,80483198.0
like_final,16565.0,4821.169574403863,18654.831171750833,1.0,217.0,769.0,2771.0,978865.0
comment_final,16120.0,265.414888337469,1310.1173228633586,1.0,11.0,37.0,129.0,76194.0
alpha_hour,16573.0,29.359429071003976,25.464733079207306,1.0,6.043791790791014,22.390154171401942,47.67646114768842,110.63966163472112
views_1h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_1h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_1h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_1h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_3h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_3h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_3h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_3h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_6h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_6h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_6h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_6h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_12h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_12h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_12h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_12h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_24h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_24h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_24h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_24h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_48h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
